LS,BMP,EMP,BegState,EndState,PASS SPEED,FREIGHT SPEED,TRACKS
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,303.87,318.8,"ALBIA, IA","MELROSE, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,318.8,334.47,"MELROSE, IA","CHARITON, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,334.47,359.91,"CHARITON, IA","OSCEOLA, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,359.91,383.75,"OSCEOLA, IA","AFTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,383.75,392.9,"AFTON, IA","CRESTON, IA",79,60,2
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
1,392.9,413.7,"CRESTON, IA","CORNING, IA",79,60,1
