Start,End,Subdivision 1,Segment 1,Begin MP 1,End MP 1,Subdivision 2,Segment 2,Begin MP 2,End MP 2,Subdivision 3,Segment 3,Begin MP 3,End MP 3,Subdivision 4,Segment 4,Begin MP 4,End MP 4,Subdivision 5,Segment 5,Begin MP 5,End MP 5
Clovis,Childress,Hereford,7100,658,554,Red River Valley,485,336,220,,,,,,,,,,,,
Childress,Fort Worth,Red River Valley,485,220,118,Wichita Falls,485,118,0,,,,,,,,,,,,
Wichita Falls,Fort Worth,Wichita Falls,485,114,0,,,,,,,,,,,,,,,,
Alliance,Gainsville,Ft. Worth,7500,365,411,,,,,,,,,,,,,,,,
Casper,Guernsey,Casper,5,202.2,127,Canyon,5,127,95,,,,,,,,,,,,
Cheyenne,Guernsey,Canyon,5,103,95,,,,,,,,,,,,,,,,
La Junta,Dodge City,La Junta,7300,555,353,,,,,,,,,,,,,,,,
Newton,Dodge City,La Junta,7300,185,353,,,,,,,,,,,,,,,,
Kansas City,Newton,Emporia,7100,1.6,124.7,La Junta,7300,125,185,,,,,,,,,,,,
Kansas City,Arkansas City,Emporia,7100,1.6,185.3,Douglas,7103,185.3,249.7,Arkansas City,7400,250,263,,,,,,,,
Lincoln,Sioux City,Creston,2,60,35,,,,,,,,,,,,,,,,
Grand Forks,East Dilworth,Hillsboro,220,98,24,KO,26,5.8,0,,,,,,,,,,,,
Beardstown,Galesburg,Beardstown,12,116,160,,,,,,,,,,,,,,,,
Beardstown,Lindenwood,Beardstown,12,116,102,Beardstown,13,0,74,,,,,,,,,,,,
